category,region,material_cost,labour_cost,production_days,packaging_cost,artisan_experience_years,market_demand,price
Phulkari,Punjab,396.56,1420.54,9,48.79,26,low,3435.91
Phulkari,Punjab,468.49,861.58,7,61.73,14,low,2392.72
Madhubani Painting,Bihar,389.55,1070.66,7,63.81,30,medium,2962.85
Bamboo Craft,Assam,123.31,132.12,1,38.63,16,high,504.31
Blue Pottery,Rajasthan,588.86,797.54,5,103.65,1,high,2842.05
Bamboo Craft,Assam,225.71,167.96,2,45.39,16,low,636.04
Blue Pottery,Rajasthan,312.37,822.36,6,101.35,33,low,2154.74
Madhubani Painting,Bihar,422.48,922.8,8,86.97,18,medium,2246.6
Madhubani Painting,Bihar,362.19,564.79,5,66.78,26,high,2056.1
Phulkari,Punjab,449.82,1888.91,14,86.74,17,high,5006.14
Blue Pottery,Rajasthan,598.91,590.88,4,84.01,22,high,2416.77
Madhubani Painting,Bihar,178.91,859.72,9,66.15,18,medium,1494.01
Bamboo Craft,Assam,165.19,290.12,3,39.79,12,medium,725.73
Blue Pottery,Rajasthan,550.33,544.97,4,80.76,14,low,1888.15
Phulkari,Punjab,640.38,847.99,5,95.94,22,medium,2794.22
Bamboo Craft,Assam,255.17,289.61,2,31.84,21,low,868.97
Madhubani Painting,Bihar,292.89,814.47,7,75.26,1,medium,1840.63
Blue Pottery,Rajasthan,480.6,539.0,4,67.74,2,medium,1632.5
Bamboo Craft,Assam,279.68,564.27,4,21.79,23,high,1716.76
Bamboo Craft,Assam,125.25,335.22,3,61.71,18,medium,859.0
Bamboo Craft,Assam,222.13,86.46,1,41.18,14,high,596.58
Blue Pottery,Rajasthan,445.65,495.41,4,54.2,19,low,1282.23
Blue Pottery,Rajasthan,340.33,708.9,5,53.47,20,medium,2104.16
Bamboo Craft,Assam,307.51,396.85,4,48.3,10,low,926.53
Phulkari,Punjab,493.58,820.78,5,77.52,18,high,2760.2
Bamboo Craft,Assam,302.01,83.54,1,69.96,24,high,736.29
Bamboo Craft,Assam,316.75,336.19,3,68.2,22,medium,1182.24
Blue Pottery,Rajasthan,458.1,555.38,4,79.17,18,medium,1743.86
Blue Pottery,Rajasthan,553.11,625.61,6,62.38,18,high,2472.86
Phulkari,Punjab,745.76,1250.13,9,91.21,17,medium,4078.34
Madhubani Painting,Bihar,490.84,318.25,3,84.08,11,medium,1403.83
Phulkari,Punjab,389.18,1381.95,11,86.33,14,medium,3162.24
Blue Pottery,Rajasthan,499.91,756.53,5,49.44,20,medium,2205.37
Phulkari,Punjab,685.99,1839.17,11,44.73,6,low,4143.58
Phulkari,Punjab,366.26,2195.64,14,48.95,22,high,5100.58
Blue Pottery,Rajasthan,599.08,643.91,6,73.28,18,high,2298.26
Phulkari,Punjab,489.64,1946.0,12,41.07,13,medium,4802.46
Bamboo Craft,Assam,171.73,540.01,4,50.33,11,medium,1170.23
Phulkari,Punjab,613.23,1712.38,10,81.86,1,medium,4519.9
Phulkari,Punjab,592.12,2065.22,12,40.4,20,low,4397.14
Bamboo Craft,Assam,271.91,134.49,1,30.94,18,medium,608.0
Bamboo Craft,Assam,347.1,229.35,2,21.85,5,high,1011.28
Bamboo Craft,Assam,181.04,87.83,1,38.15,27,low,416.75
Phulkari,Punjab,747.69,1159.44,8,51.98,13,low,2604.47
Bamboo Craft,Assam,309.81,193.4,2,43.68,27,medium,896.42
Bamboo Craft,Assam,242.76,388.04,4,43.65,12,medium,965.2
Bamboo Craft,Assam,346.81,126.75,1,47.73,17,high,819.96
Phulkari,Punjab,657.99,1928.25,13,45.11,17,high,5441.29
Madhubani Painting,Bihar,229.05,543.05,4,81.49,15,medium,1328.04
Bamboo Craft,Assam,266.23,509.65,4,65.14,10,medium,1044.6
Bamboo Craft,Assam,322.86,552.56,4,47.39,24,medium,1278.64
Phulkari,Punjab,666.51,947.62,8,91.13,17,low,3032.62
Blue Pottery,Rajasthan,581.87,762.07,6,59.29,13,high,2279.35
Madhubani Painting,Bihar,290.2,692.26,6,47.32,9,medium,1762.51
Phulkari,Punjab,471.08,1038.05,6,59.07,5,medium,2786.82
Madhubani Painting,Bihar,362.48,982.1,9,75.3,20,medium,2498.31
Blue Pottery,Rajasthan,430.97,719.73,5,70.01,26,high,2507.97
Bamboo Craft,Assam,147.89,397.42,4,49.48,15,high,971.1
Phulkari,Punjab,780.02,1001.76,7,40.58,11,high,3759.28
Blue Pottery,Rajasthan,514.3,1131.27,7,110.23,14,medium,3184.16
Phulkari,Punjab,792.64,892.91,6,50.71,13,medium,2950.09
Blue Pottery,Rajasthan,480.29,611.32,5,61.76,19,high,2315.03
Madhubani Painting,Bihar,169.64,417.6,3,34.96,20,medium,1040.3
Phulkari,Punjab,543.08,1748.51,14,42.2,14,medium,4878.7
Madhubani Painting,Bihar,481.62,1044.51,7,45.04,9,low,1987.3
Phulkari,Punjab,618.3,2179.56,13,98.87,25,medium,6074.86
Madhubani Painting,Bihar,355.06,863.99,9,67.12,18,low,1590.37
Blue Pottery,Rajasthan,305.18,1007.49,7,79.69,12,high,2381.16
Bamboo Craft,Assam,118.14,493.92,4,48.15,22,medium,975.93
Phulkari,Punjab,720.42,748.44,6,63.82,28,medium,2829.92
Madhubani Painting,Bihar,338.92,409.01,3,82.58,8,low,1016.34
Phulkari,Punjab,645.54,1335.95,8,83.25,17,high,3601.14
Phulkari,Punjab,488.35,2005.65,13,52.05,10,medium,4477.07
Phulkari,Punjab,846.89,2036.13,15,75.3,14,high,5249.14
Madhubani Painting,Bihar,469.06,982.97,9,88.8,17,medium,2364.64
Phulkari,Punjab,611.46,1633.34,14,79.7,15,medium,4279.5
Blue Pottery,Rajasthan,219.36,431.5,3,106.94,31,low,1278.75
Phulkari,Punjab,885.9,1848.66,13,81.35,19,medium,4959.19
Phulkari,Punjab,476.5,837.71,7,76.15,21,high,2786.54
Bamboo Craft,Assam,180.82,562.17,4,61.25,29,medium,1160.72
Phulkari,Punjab,510.31,1635.76,14,48.03,9,high,4062.41
Madhubani Painting,Bihar,159.2,981.75,8,88.98,24,low,1997.67
Phulkari,Punjab,869.09,1591.1,13,75.86,8,medium,4130.12
Blue Pottery,Rajasthan,233.7,994.49,7,97.69,11,low,2483.67
Blue Pottery,Rajasthan,546.88,408.21,3,52.72,11,low,1768.04
Bamboo Craft,Assam,259.86,131.91,1,32.24,17,high,732.98
Madhubani Painting,Bihar,263.26,542.87,6,53.01,9,medium,1357.48
Madhubani Painting,Bihar,430.38,783.48,5,38.57,5,low,1447.25
Phulkari,Punjab,384.22,857.78,7,96.92,5,high,2199.22
Bamboo Craft,Assam,128.6,220.21,2,64.4,3,medium,634.09
Blue Pottery,Rajasthan,533.29,405.02,4,40.33,14,high,1682.94
Madhubani Painting,Bihar,421.68,1127.33,8,79.14,17,low,2135.32
Madhubani Painting,Bihar,405.89,982.11,7,30.85,11,medium,2124.18
Bamboo Craft,Assam,174.06,277.68,3,20.71,9,high,758.21
Madhubani Painting,Bihar,355.46,1395.19,9,47.96,6,high,3050.84
Bamboo Craft,Assam,322.43,198.13,2,50.24,14,medium,766.13
Bamboo Craft,Assam,271.61,180.89,2,48.14,7,low,813.2
Blue Pottery,Rajasthan,441.28,534.12,4,54.21,10,high,2014.12
Phulkari,Punjab,597.5,806.68,7,69.5,16,low,2640.86
Phulkari,Punjab,668.22,1778.95,14,42.39,20,high,4469.16
Blue Pottery,Rajasthan,307.16,1103.41,7,69.35,15,high,2784.46
Phulkari,Punjab,584.64,870.69,7,81.14,22,low,2660.13
Phulkari,Punjab,689.92,1588.83,13,86.82,8,medium,4633.83
Madhubani Painting,Bihar,364.75,397.89,3,69.47,14,medium,1366.59
Madhubani Painting,Bihar,196.18,1097.78,9,33.46,2,high,2181.89
Blue Pottery,Rajasthan,528.66,656.32,5,61.22,15,medium,1950.99
Madhubani Painting,Bihar,392.5,702.41,5,32.62,7,high,2095.6
Madhubani Painting,Bihar,425.98,855.03,8,69.43,22,high,2380.9
Madhubani Painting,Bihar,343.98,1203.68,8,30.74,4,high,2801.31
Bamboo Craft,Assam,229.61,495.11,4,58.0,17,high,1388.42
Blue Pottery,Rajasthan,359.85,838.0,5,74.44,20,medium,2223.57
Bamboo Craft,Assam,202.0,298.92,2,65.65,11,high,924.89
Madhubani Painting,Bihar,299.52,932.82,10,50.66,10,medium,1964.2
Blue Pottery,Rajasthan,377.37,425.75,4,107.78,16,high,1502.83
Madhubani Painting,Bihar,244.42,480.55,5,55.86,7,low,957.54
Madhubani Painting,Bihar,258.6,844.08,8,76.75,23,medium,1878.83
Blue Pottery,Rajasthan,316.53,471.98,3,103.65,8,medium,1411.26
Phulkari,Punjab,826.06,1408.51,11,40.33,14,medium,4054.77
Blue Pottery,Rajasthan,565.07,857.59,7,61.63,24,low,2632.07
Phulkari,Punjab,667.67,1107.91,9,55.77,12,medium,3427.42
Bamboo Craft,Assam,116.01,121.18,1,31.51,15,medium,383.11
Phulkari,Punjab,879.5,554.54,5,55.08,6,high,2860.97
Phulkari,Punjab,530.6,1682.75,11,71.26,12,high,4498.6
Bamboo Craft,Assam,327.01,431.06,4,55.75,24,medium,1205.3
Blue Pottery,Rajasthan,394.88,560.97,5,117.5,9,high,1596.31
Madhubani Painting,Bihar,463.12,1023.59,9,41.21,12,high,2380.45
Madhubani Painting,Bihar,398.35,727.79,5,60.53,18,low,1921.16
Blue Pottery,Rajasthan,542.63,425.54,4,59.86,9,medium,1672.37
Bamboo Craft,Assam,260.71,197.08,2,32.33,9,medium,747.91
Bamboo Craft,Assam,279.15,327.25,3,44.12,7,low,799.83
Blue Pottery,Rajasthan,200.51,784.05,6,73.57,18,high,2067.14
Madhubani Painting,Bihar,384.44,807.94,6,33.15,5,low,1875.33
Phulkari,Punjab,808.38,732.96,5,41.52,21,low,3074.36
Blue Pottery,Rajasthan,559.84,346.67,3,57.87,20,high,1734.22
Blue Pottery,Rajasthan,452.12,422.29,3,60.71,15,low,1572.52
Blue Pottery,Rajasthan,340.48,575.86,4,52.11,5,high,1635.7
Madhubani Painting,Bihar,332.12,550.48,4,73.02,1,medium,1261.99
Phulkari,Punjab,376.73,1697.91,14,77.77,23,low,3555.82
Bamboo Craft,Assam,346.01,235.63,2,59.93,25,low,962.34
Bamboo Craft,Assam,298.13,184.51,2,50.47,7,medium,814.8
Madhubani Painting,Bihar,270.2,501.27,4,40.35,15,medium,1371.64
Blue Pottery,Rajasthan,596.62,449.31,4,87.4,18,high,1765.91
Phulkari,Punjab,877.83,2100.96,12,74.49,14,low,4755.95
Bamboo Craft,Assam,234.56,228.35,2,33.65,8,medium,755.88
Blue Pottery,Rajasthan,367.93,504.24,3,51.39,14,low,1570.68
Bamboo Craft,Assam,202.91,400.7,4,67.26,18,medium,901.59
Phulkari,Punjab,634.54,951.4,7,73.29,14,medium,3276.36
Madhubani Painting,Bihar,195.13,446.68,4,52.6,18,medium,1071.57
Madhubani Painting,Bihar,361.02,412.69,4,75.7,13,medium,1330.03
Bamboo Craft,Assam,305.36,133.42,1,28.76,7,medium,726.4
Blue Pottery,Rajasthan,491.99,731.21,5,63.79,20,medium,2303.31
Madhubani Painting,Bihar,205.56,1234.04,8,53.24,16,low,2045.5
Phulkari,Punjab,483.28,1529.04,13,78.73,19,high,4833.39
Phulkari,Punjab,853.25,1571.67,12,85.95,17,high,4769.47
Bamboo Craft,Assam,166.94,287.84,2,48.36,14,medium,769.13
Madhubani Painting,Bihar,251.24,1043.39,8,76.35,17,high,2615.43
Blue Pottery,Rajasthan,449.44,750.13,7,80.92,7,medium,1928.17
Bamboo Craft,Assam,111.34,101.31,1,44.63,26,low,394.33
Blue Pottery,Rajasthan,521.63,654.08,5,74.45,19,medium,1894.63
Madhubani Painting,Bihar,285.16,464.98,4,31.69,27,medium,1336.36
Bamboo Craft,Assam,226.92,181.4,2,58.13,3,medium,561.14
Blue Pottery,Rajasthan,233.44,407.37,3,56.26,18,medium,1148.52
Phulkari,Punjab,795.19,1352.82,8,59.92,16,high,3965.62
Madhubani Painting,Bihar,174.16,922.21,10,54.53,16,high,1900.53
Bamboo Craft,Assam,288.89,247.95,2,65.17,11,medium,849.99
Madhubani Painting,Bihar,224.9,1087.18,7,71.77,21,medium,2257.88
Bamboo Craft,Assam,118.21,568.12,4,48.78,13,medium,937.27
Blue Pottery,Rajasthan,358.24,370.68,3,65.81,26,medium,1448.23
Madhubani Painting,Bihar,362.33,1202.43,8,49.16,21,medium,2778.69
Blue Pottery,Rajasthan,415.04,618.61,4,85.25,16,medium,1797.82
Phulkari,Punjab,515.28,1306.42,8,53.9,14,medium,3512.47
Madhubani Painting,Bihar,354.41,995.97,9,41.77,16,low,2216.36
Bamboo Craft,Assam,271.42,252.72,3,33.79,31,high,887.18
Phulkari,Punjab,333.62,1264.97,11,68.21,19,high,4107.73
Bamboo Craft,Assam,298.84,191.21,2,53.0,10,low,783.28
Madhubani Painting,Bihar,408.57,540.89,4,55.4,10,low,1384.21
Blue Pottery,Rajasthan,581.78,303.5,3,45.4,14,low,1562.35
Blue Pottery,Rajasthan,309.61,587.64,5,69.75,18,medium,1550.34
Blue Pottery,Rajasthan,551.73,336.48,3,110.01,15,low,1412.25
Phulkari,Punjab,639.33,1665.39,10,97.52,17,high,5378.85
Madhubani Painting,Bihar,267.73,1396.12,10,47.99,17,medium,2874.18
Phulkari,Punjab,554.37,1749.55,11,62.34,18,low,3469.51
Bamboo Craft,Assam,274.56,82.02,1,51.5,18,medium,500.59
